mid,user_name,user_link,verify_typ,weibo_link,publish_time,content,image_urls,video_preview_url,video_download_url,forward_num,comment_num,like_num,source,location_url,location_name,publish_location,origin_weibo_user_name,origin_weibo_content,origin_weibo_info
4800893264072631,Ruptly国际新闻视频通讯社,https://weibo.com/5108550554,蓝V认证,https://weibo.com/5108550554/M0neKh5tB,2022-08-10 12:26,【#白宫承认拜登出现新冠后遗症#】白宫发言人让-皮埃尔称拜登出现新冠后遗症，偶尔需要使用吸入器压制咳嗽。拜登上周正式宣布康复，但在8月9日的演讲中，他多次咳嗽并明显患有鼻炎。7月21日，拜登首次感染新冠。7月27日，拜登新冠检测转阴，结束隔离。30日，拜登新冠病毒检测再次呈阳性。8月7日，拜登新冠检测结果为阴性，重返公共事务工作。LRuptly国际新闻视频通讯社的微博视频,,https://video.weibo.com/show?fid=1034:4793825919696960,"https://f.video.weibocdn.com/o0/XD2CpOe2lx07XNIPRa6c010412001IKX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708166223&ssig=HjJL77OPK2&KID=unistore,video",6,4,15,微博视频号,,,,,,{}
4800900252568392,新浪新能源,https://weibo.com/5617036708,蓝V认证,https://weibo.com/5617036708/M0nq1aM9G,2022-08-10 12:54,#白宫承认拜登出现新冠后遗症# ，新冠再次转阴的拜登，在讲话时不停咳嗽，然后用手捂住，再扶脸上的墨镜。L无心简影的微博视频 （来源：无心简影）#佩洛西称窜台是遵循拜登政策#,,https://video.weibo.com/show?fid=1034:4800691924041750,"https://f.video.weibocdn.com/u0/AalWCLpZgx07YhWx8LoI010412001BmT0E010.mp4?label=mp4_hd&template=720x406.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708166223&ssig=heWhYqPmoK&KID=unistore,video",1,4,4,微博视频号,,,,,,{}
4800906485304172,BOOM视频,https://weibo.com/6969117632,蓝V认证,https://weibo.com/6969117632/M0nA4mfRa,2022-08-10 13:19,【双语字幕：拜登新冠阳性后发表讲话】#白宫承认拜登出现新冠后遗症# L卢旭宁的微博视频 @卢旭宁,,https://video.weibo.com/show?fid=1034:4793922724233250,"https://f.video.weibocdn.com/o0/Q6LOjRy1lx07XO94apLa010412007bED0E010.mp4?label=mp4_720p&template=720x1476.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708166223&ssig=ju4hlIDBg7&KID=unistore,video",0,0,0,微博视频号,,,,,,{}
4800999019776495,桔·桔,https://weibo.com/5908400888,没有认证,https://weibo.com/5908400888/M0pZjF1jp,2022-08-10 19:27,【#白宫承认拜登出现新冠后遗症#】白宫发言人让-皮埃尔称拜登出现新冠后遗症，偶尔需要使用吸入器压制咳嗽。拜登上周正式宣布康复，但在8月9日的演讲中，他多次咳嗽并明显患有鼻炎。7月21日，拜登首次感染新冠。7月27日，拜登新冠检测转阴，结束隔离。30日，拜登新冠病毒检测再次呈阳性。8月7日，拜登新冠检测结果为阴性，重返公共事务工作。LRuptly国际新闻视频通讯社的微博视频,,https://video.weibo.com/show?fid=1034:4793825919696960,"https://f.video.weibocdn.com/o0/XD2CpOe2lx07XNIPRa6c010412001IKX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708166223&ssig=HjJL77OPK2&KID=unistore,video",0,0,0,微博视频号,,,,,,{}
4801016921594285,公务员考试答疑君,https://weibo.com/5353390399,红V认证,https://weibo.com/5353390399/M0qsc6GKh,2022-08-10 20:38,#白宫承认拜登出现新冠后遗症#一开始西方媒体不断重复新冠就是大号流感，国内一些大V也鹦鹉学舌，攻击我们的疫情防控政策。现在来看，新冠不是大号流感，感染了新冠肺炎后果十分严重。这进一步证明了我们国家的疫情防控政策是对的。,,,,3,5,21,看置顶微博Android,,,,,,{}
4801021199254549,兽医陈满福,https://weibo.com/1732807563,黄V认证,https://weibo.com/1732807563/M0qz5CPwV,2022-08-10 20:55,#白宫承认拜登出现新冠后遗症#不管动物还是人，治疗后遗症最厉害的还是中医 2西安,,,,0,0,4,兽医陈满福HarmonyOS设备,https://weibo.com/p/1001018008661010000000000,西安,,,,{}
4801023485155458,Ruptly国际新闻视频通讯社,https://weibo.com/5108550554,蓝V认证,https://weibo.com/5108550554/M0qCMlDay,2022-08-10 21:04,【#拜登发言时咳嗽不止#】#白宫承认拜登出现新冠后遗症#周二，刚从新冠隔离区出来的美国总统拜登在白宫发表演。演讲期间他反复咳嗽，并在与参议院多数党领袖查克·舒默握完手后，继续等待对方与之握手。拜登将在11月年满80岁，将是有史以来在任的最年长的美国总统。这引起了一些人对他在身体和精神上是否适合这个职位的担忧。  LRuptly国际新闻视频通讯社的微博视频,,https://video.weibo.com/show?fid=1034:4801022112235553,"https://f.video.weibocdn.com/o0/3J89SzWslx07YjoHYzoA01041200hLjg0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708166221&ssig=PCmkNALlQ%2B&KID=unistore,video",2,4,14,微博视频号,,,,,,{}
4801025758727850,李实Sebastian,https://weibo.com/1400395193,黄V认证,https://weibo.com/1400395193/M0qGrACvM,2022-08-10 21:13,#白宫承认拜登出现新冠后遗症# 长新冠，一辈子,,,,0,0,0,HarmonyOS设备,,,,,,{}
4801029956705177,杭州网,https://weibo.com/1036713140,蓝V认证,https://weibo.com/1036713140/M0qNds8k1,2022-08-10 21:30,【#拜登发言时咳嗽不止# #白宫承认拜登出现新冠后遗症# 】7月21日，拜登首次感染新冠。7月27日，拜登新冠检测转阴，结束隔离。30日，拜登新冠病毒检测再次呈阳性。8月7日，拜登新冠检测结果为阴性，重返公共事务工作。周二，刚从新冠隔离区出来的美国总统拜登在白宫发表演讲期间反复咳嗽，并在与参议院多数党领袖查克·舒默握完手后，继续等待对方与之握手。白宫发言人让-皮埃尔称拜登出现新冠后遗症，偶尔需要使用吸入器压制咳嗽。拜登将在今年11月年满80周岁，将是有史以来在任的最年长的美国总统。这引起了一些人对他在身体和精神上是否适合这个职位的担忧。LRuptly国际新闻视频通讯社的微博视频 （@Ruptly国际新闻视频通讯社 ）,,https://video.weibo.com/show?fid=1034:4801022112235553,"https://f.video.weibocdn.com/o0/3J89SzWslx07YjoHYzoA01041200hLjg0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708166221&ssig=PCmkNALlQ%2B&KID=unistore,video",0,0,0,微博视频号,,,,,,{}
4801030677860596,风闻社区,https://weibo.com/6508016609,蓝V认证,https://weibo.com/6508016609/M0qOnwYTO,2022-08-10 21:32,【#白宫承认拜登出现新冠后遗症#】据俄罗斯卫星通讯社8月10日报道，白宫通报称，美国总统拜登还有新冠感染“后遗症”，偶尔需要使用吸入器压制咳嗽。上周末正式宣布康复，结束多日的隔离，但在8月9日的演讲中，拜登多次咳嗽而中断，并明显患有鼻炎。白宫发言人卡琳·让-皮埃尔指出：“我们现在看到的是后遗症。”让-皮埃尔称：“他有吸入器，偶尔会用”，而鼻炎则是拜登在感染前就患有。7月21日，拜登首次感染新冠。7月27日，拜登新冠检测转阴，结束隔离。30日，拜登新冠病毒检测再次呈阳性。8月7日，拜登新冠检测结果为阴性，重返公共事务工作。,https://wx3.sinaimg.cn/large/0076qYpPgy1h51zu4o2guj30zk0k0769.jpg,,,78,32,169,360安全浏览器,,,,,,{}
4801032071153106,李实Sebastian,https://weibo.com/1400395193,黄V认证,https://weibo.com/1400395193/M0qQD4PYu,2022-08-10 21:38,#白宫承认拜登出现新冠后遗症# 长新冠，一辈子转发原文：抱歉，作者已设置仅展示半年内微博，此微博已不可见。,,,,0,0,0,微博搜索,,,,,抱歉，作者已设置仅展示半年内微博，此微博已不可见。 ​,"{""origin_weibo_content"": ""抱歉，作者已设置仅展示半年内微博，此微博已不可见。"", ""origin_weibo_user_name"": null, ""origin_weibo_link"": ""https://weibo.com//weibo.com//M0n9Z4hJQ?refer_flag=1001030103_"", ""origin_weibo_publish_time"": ""2022-08-10 12:15"", ""origin_source"": []}"
4801035954029015,军机不可泄露,https://weibo.com/2356166212,红V认证,https://weibo.com/2356166212/M0qWTgU87,2022-08-10 21:53,#白宫承认拜登出现新冠后遗症#搞个小调查：你觉得他能干满这届任期吗？[交税],https://wx3.sinaimg.cn/large/8c703e44ly1h520476tv3g20lp0c44qt.jpg,,,7,34,225,吃点好的吧HarmonyOS设备,,,,,,{}
4801046662879220,卢晓周,https://weibo.com/2553695304,黄V认证,https://weibo.com/2553695304/M0reac512,2022-08-10 22:36,#白宫承认拜登出现新冠后遗症#拜登有新冠后遗症这事，说明两件事，一是辉瑞的特效药不靠谱，二是拜登的身体可能油尽灯枯，说不定哪天就驾崩了。,https://wx2.sinaimg.cn/large/98364c48gy1h521njbtsbj20o91g6qba.jpg,,,4,7,24,Android,,,,,,{}
4801047736619344,三湘都市报,https://weibo.com/1700087532,蓝V认证,https://weibo.com/1700087532/M0rfTrLZC,2022-08-10 22:40,【#白宫承认拜登出现新冠后遗症#】白宫通报称，美国总统拜登还有新冠感染“后遗症”，偶尔需要使用吸入器压制咳嗽。周二，刚从新冠隔离区出来的美国总统拜登在白宫发表演。演讲期间他反复咳嗽，并在与参议院多数党领袖查克·舒默握完手后，继续等待对方与之握手。拜登将在11月年满80岁，将是有史以来在任的最年长的美国总统。这引起了一些人对他在身体和精神上是否适合这个职位的担忧。（剪辑 李青）  L三湘都市报的微博视频,,https://video.weibo.com/show?fid=1034:4801047512940647,"https://f.video.weibocdn.com/o0/EvA6cW91lx07YjvkiCO4010412004Kwg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708166220&ssig=1y9tfXcEBa&KID=unistore,video",6,4,15,微博视频号,,,,,,{}
4801051095998434,地瓜熊老六,https://weibo.com/3939426052,红V认证,https://weibo.com/3939426052/M0rljpasW,2022-08-10 22:54,#白宫承认拜登出现新冠后遗症#美国白宫发言人卡琳让-皮埃尔表示，我们现在看到拜登有新冠后遗症，他有吸入器，偶尔会用。怎么会有后遗症呢？拜登，应该去夭大家喝自来水治新冠才对。,https://wx3.sinaimg.cn/large/004iBqFSly1h5226uoyxbj60hs0a00t102.jpg,,,27,86,524,子柒的最爱Android,,,,,,{}
