mid,user_name,user_link,verify_typ,weibo_link,publish_time,content,image_urls,video_preview_url,forward_num,comment_num,like_num,source,origin_weibo_user_name,origin_weibo_content,origin_weibo_info
4864259253077080,想换名字的Angela,https://weibo.com/1226805397,没有认证,https://weibo.com/1226805397/MqXFXcUuk,2023-02-01 09:00,12/18-1/31，long vacation（covid）🔚希望身体能够很好地支撑我开工🙏,https://wx3.sinaimg.cn/large/491f9095ly1hanpk4fl7aj22c0340qv5.jpg,,0,4,0,iPhone客户端,,,{}
4864295269566747,昆明国家高新区发布,https://weibo.com/3806438281,蓝V认证,https://weibo.com/3806438281/MqYC2E8Kn,2023-02-01 11:23,"#昆明高新微科普# 【细胞科普｜干细胞或有效改善新冠相关后遗症】对于全世界数千万人来说，新冠感染对健康的影响远不止最初的感染期！近日,《Nature Reviews Microbiology》杂志发表的一项来自美国斯克里普斯研究中心的研究表明，长新冠（Long COVID）是一种多系统性疾病，如果不采取行动，很大一部分长新冠患者可能患有终身残疾。 O细胞科普｜干细胞或有效改善新冠相关后遗症",https://wx1.sinaimg.cn/large/e2e1a389gy1hantq1uy77j20fe0qbqa3.jpg,,0,1,0,iPhone 13 Pro,,,{}
4864320153849379,空里流霜sharon,https://weibo.com/3223378453,没有认证,https://weibo.com/3223378453/MqZgbg9oL,2023-02-01 13:02,无所谓，reinfection和long covid会出手转发原文：抱歉，根据作者设置的微博可见时间范围，此微博已不可见。,,,0,0,0,nova8Pro我由我掌镜,,抱歉，根据作者设置的微博可见时间范围，此微博已不可见。 ​,"{""origin_weibo_content"": ""抱歉，根据作者设置的微博可见时间范围，此微博已不可见。"", ""origin_weibo_user_name"": null, ""origin_weibo_link"": ""https://weibo.com//weibo.com//MqTPJic4x?refer_flag=1001030103_"", ""origin_weibo_publish_time"": ""2023-01-31 23:13"", ""origin_source"": []}"
4864343059204199,领事闲谈,https://weibo.com/1444313404,橙V认证,https://weibo.com/1444313404/MqZR7CCqP,2023-02-01 14:33,"【美国长期新冠率下降一半，新英格兰地区属于最低水平】[NPR 31/01：Long COVID rates fall by half nationwide, New England rates among lowest]根据凯撒家庭基金会（KFF）分析的美国疾病控制和预防中心（CDC）家庭脉搏调查的新数据，报告长期新冠症状的人数比去年夏天下降了大约一半，达到十分之一。耶鲁大学医学院即将上任的急诊医学主席Arjun Venkatesh博士最近与人合著了一项研究，发现 ""接种疫苗的人在感染新冠三个月后报告症状的可能性较小，"" 他说。""这不是因果关系的数据。但是，总的来说，接种疫苗的人似乎报告的症状较少，而且症状持续时间较短""。另一个潜在因素？一项新的、不同的研究，也是由Venkatesh共同撰写的，发现 ""如果病人的初始新冠感染是在Delta之前的时期，或最早的几组感染，那么他们更有可能报告长时间的症状，而在那些有过奥密克戎感染的人中，这种可能性较小，"" 他说。研究人员无法确定长期新冠感染率是否与变体、疫苗接种和加强针，或较少的外部大流行压力（社会隔离和孤独）有明确的联系。 Venkatesh推测，这很可能是一个组合。根据CDC的调查数据，在报告曾经患有新冠的人中，说他们目前--或曾经患有--长期新冠的比例从2022年6月的35%下降到2023年1月的28%。尽管如此，长期新冠仍然是一个首要的健康问题。截至1月16日，美国所有成年人中的15%报告说在某个时候有过长期新冠症状，包括6%目前有症状的人。79%的持续长期新冠患者报告说他们的日常活动受到了限制，27%的人将这种限制描述为严重。田纳西州的律师弗兰克-齐格勒(Frank Ziegler)患有长期新冠两年了，他是耶鲁大学长期新冠研究的参与者。他说：""我有呼吸急促、手部震颤和认知问题，包括短期记忆问题和处理速度变慢。""齐格勒说，他在2021年1月对新冠检测呈阳性，他的长期新冠症状始于当年3月--当时他没有接种疫苗，因为当时还没有开始向公众推广。文卡特斯和哈特福德医院的传染病专家尤利西斯-吴博士都表示，这一趋势令人鼓舞，但也提出了谨慎的意见。""这是积极的发现，百分比正在下降，""吴说。""但我们仍然希望防止人们感染新冠。帮助你解决长期新冠的最好方法是不要一开始就得新冠。""吴预计，如果新冠率开始攀升，长期新冠率将增加。Lending Tree的健康保险公司Value Penguin的一项新研究发现，30%的康涅狄格州居民在感染后表示他们的症状持续了三个月或更长时间（长期新冠）。在50个州中，该州的长期新冠率排名24，新冠疫苗接种率为82.5%，位居第五。密西西比州、蒙大拿州和阿肯色州的长期新冠率最高--至少有35%的患者报告有长期新冠。密西西比州（41.2%），蒙大拿州（35.1%），和阿肯色州（35%）。缅因州、新罕布什尔州和佛蒙特州的长期新冠率最低--少于23%的人报告了长期新冠。缅因州（21.8%），新罕布什尔州（22.8%）和佛蒙特州（22.9%）。#关注新冠后遗症#",https://wx2.sinaimg.cn/large/5616793cly1hanz6ws5owj20l3095q3g.jpg,,8,4,21,微博网页版,,,{}
4864362672032685,Aha持续摸鱼中,https://weibo.com/1602563655,没有认证,https://weibo.com/1602563655/Mr0mL8wNf,2023-02-01 15:51,long  COVID//@一只黄果果 :长新冠//@补果君 :很多人这时候又不信科学了。//@别梦依稀笑逝川 :国外有的戏码，一个都不会落下，还有人在怀疑，不会有第二波呢。转发原文：抱歉，根据作者设置的微博可见时间范围，此微博已不可见。,,,0,0,0,微博轻享版,,抱歉，根据作者设置的微博可见时间范围，此微博已不可见。 ​,"{""origin_weibo_content"": ""抱歉，根据作者设置的微博可见时间范围，此微博已不可见。"", ""origin_weibo_user_name"": null, ""origin_weibo_link"": ""https://weibo.com//weibo.com//MqTPJic4x?refer_flag=1001030103_"", ""origin_weibo_publish_time"": ""2023-01-31 23:13"", ""origin_source"": []}"
4864444553236151,KiraKira晴天小猪,https://weibo.com/5674979439,没有认证,https://weibo.com/5674979439/Mr2uPdzRZ,2023-02-01 21:17,我不是long covid，我是long long long covid,,,0,1,0,iPhone 13,,,{}
4864591627027722,消化内科王伯军大夫,https://weibo.com/3743622090,黄V认证,https://weibo.com/3743622090/Mr6k2tuem,2023-02-02 07:01,#微博健康公开课#    新冠——阳过后持续存在这些不适症状，可能属于“长新冠”目前我国约80%的人已经感染过新冠病毒。多数人在一两周后各种症状消失，身体完全康复。但有一部分人在较长时间内存在着诸多不适症状，这可能属于“长新冠（Long COVID-19）”。按照世界卫生组织（WHO）的定义，长新冠是指感染新冠病毒3个月后仍有症状，最少持续两个月，并且这些症状不能用其他原因解释。长新冠的症状多种多样。有研究表明，在感染新冠病毒后3-6个月内持续存在的最常见的症状包括：焦虑/抑郁（15.5%），腹部症状（8.3%），呼吸异常（如气促等，7.9%），疲乏（5.9%），胸部或咽喉疼痛（5.7%），头痛（4.6%），肌肉疼痛（1.5%），其他部位疼痛（7.2%），认知功能下降（记忆力变差、思维缓慢4.0%）。（以上数据来自：doi: 10.1113/EP090802）。此外，心悸、心率增快、慢性咳嗽也是长新冠常见的表现。现有研究提示，长新冠症状是新冠病毒对全身多个组织器官损害所致，呼吸系统、消化系统、心血管系统、肌肉、神经系统等都会受到不同程度的影响。随着时间的延长，多数长新冠患者的相关症状会逐渐消失。合理的饮食、科学的运动康复、充足的睡眠有助于疾病更快康复。若这些症状持续存在或程度较重，建议在医生指导下进行治疗。,,,9,1,7,iPhone客户端,,,{}
4864627248204809,干细胞健康指南,https://weibo.com/7745799921,蓝V认证,https://weibo.com/7745799921/Mr7fuyqrD,2023-02-02 09:22,我国研究表明使用人间充质干细胞可治疗重症 COVID-19的长期后遗症！#干细胞##干细胞治疗##免疫细胞##间充质干细胞##nk免疫细胞# 这个月，我国国家传染病临床研究中心的一个研究小组在eBioMedicine 上发表了一项研究，描述了使用人间充质干细胞 (MSC) 治疗重症 COVID-19的长期影响。这是一项前瞻性纵向队列研究，对 100 名参加 II 期试验的患者进行了为期一年的随访。主要终点是通过高分辨率 CT 扫描测量的全肺病变体积比例的改变。研究人员还分析了其他成像方法、六分钟步行测试、肺功能、血浆生物标志物和不良事件。与安慰剂相比，该治疗改善了全肺病变体积。研究人员还指出，MSC 组 17.9% 的患者在 12 个月时的 CT 图像正常，而安慰剂组则没有。与安慰剂组相比，MSC 组的症状也有所减轻。最早发表的相关报道，是中国生物技术发展中心进行的一项试验。报道称 200 多名患者在中国武汉使用类似技术进行了治疗，临床治疗结果表明，干细胞疗法具有良好的安全性，也被证实具有治疗效果。长期新冠（Long COVID ）的官方名称为 SARS-CoV-2 感染后急性后遗症 (PASC)，其定义为在感染后至少持续 4 周的广泛症状。据梅奥诊所称，四分之一的 65 岁或以上的人患有 COVID-19 的后遗症。我们希望这方面的临床试验能够为人们战胜疫情后遗症带来新的利器。,https://wx1.sinaimg.cn/large/008scAoNly1haovtvv72pg30o70gte83.jpg https://wx4.sinaimg.cn/large/008scAoNly1haovtzv1cmj30dw08s0v1.jpg,,1,1,0,微博网页版,,,{}
4864687725874595,其实我是一名文字工作者,https://weibo.com/1919328985,没有认证,https://weibo.com/1919328985/Mr8P2oEfx,2023-02-02 13:23,我感觉恢复正常上班后，食堂的工作人员动作更慢了，经常人都排老长一队了，大叔还在慢慢捞面浇汁什么的。动线设计不合理，另外也太气定神闲了。难道动作缓慢也是long Covid 的一种？,,,0,1,0,iPhone客户端,,,{}
4864718391743457,Bily-tt0216,https://weibo.com/1769627964,没有认证,https://weibo.com/1769627964/Mr9Cv7jyh,2023-02-02 15:25,long covid，没🐏前看国外很多这种情况，有在害怕，但具体是何种表现倒没有深刻认知，自从🐏康到现在差不多一个多月了，脑雾症状真的非常明显，非常害怕，不知道第二波什么时候来，希望能苟住！,https://wx4.sinaimg.cn/large/697a613cgy1hap66uzbdaj20u0110ag0.jpg,,0,0,0,🐰iPhone客户端,,,{}
