time_window,n_posts,n_public,X_H,X_M,X_L,a,Q,n_mainstream,p_risk_mainstream,n_wemedia,p_risk_wemedia,n_government
2020-03-25 12:00:00,1,1,,,,,,0,,0,,0
2020-05-05 11:00:00,1,1,,,,,,0,,0,,0
2020-05-14 19:00:00,1,0,,,,,,0,,1,1.0,0
2020-05-15 11:00:00,1,0,,,,,,0,,1,1.0,0
2020-07-13 15:00:00,2,2,,,,,,0,,0,,0
2020-07-13 16:00:00,1,1,,,,,,0,,0,,0
2020-07-24 21:00:00,1,1,,,,,,0,,0,,0
2020-08-20 10:00:00,1,0,,,,,,1,1.0,0,,0
2020-10-16 20:00:00,1,0,,,,,,0,,1,1.0,0
2020-11-13 14:00:00,1,1,,,,,,0,,0,,0
2020-12-11 17:00:00,1,0,,,,,,1,1.0,0,,0
2020-12-11 18:00:00,1,0,,,,,,1,1.0,0,,0
2020-12-24 22:00:00,1,1,,,,,,0,,0,,0
2020-12-31 11:00:00,1,0,,,,,,0,,0,,0
2021-01-09 17:00:00,1,0,,,,,,0,,1,1.0,0
2021-01-15 13:00:00,1,0,,,,,,1,1.0,0,,0
2021-01-21 21:00:00,1,1,,,,,,0,,0,,0
2021-01-24 09:00:00,1,0,,,,,,0,,1,1.0,0
2021-01-27 16:00:00,1,0,,,,,,1,1.0,0,,0
2021-01-29 02:00:00,1,0,,,,,,0,,0,,0
2021-02-08 23:00:00,1,1,,,,,,0,,0,,0
2021-02-18 13:00:00,1,1,,,,,,0,,0,,0
2021-03-04 09:00:00,1,0,,,,,,0,,0,,0
2021-03-07 20:00:00,1,0,,,,,,0,,1,0.0,0
2021-03-23 01:00:00,1,0,,,,,,1,1.0,0,,0
2021-04-13 18:00:00,1,0,,,,,,0,,1,1.0,0
2021-05-30 22:00:00,1,0,,,,,,0,,1,1.0,0
2021-06-08 11:00:00,1,1,,,,,,0,,0,,0
2021-06-18 16:00:00,1,1,,,,,,0,,0,,0
2021-07-15 19:00:00,1,0,,,,,,0,,0,,0
2021-08-01 04:00:00,1,1,,,,,,0,,0,,0
2021-08-01 05:00:00,1,1,,,,,,0,,0,,0
2021-08-03 09:00:00,1,1,,,,,,0,,0,,0
2021-08-03 11:00:00,1,1,,,,,,0,,0,,0
2021-08-05 12:00:00,1,1,,,,,,0,,0,,0
2021-08-07 16:00:00,1,1,,,,,,0,,0,,0
2021-08-09 11:00:00,2,2,,,,,,0,,0,,0
2021-09-09 20:00:00,1,0,,,,,,0,,1,1.0,0
2021-09-15 23:00:00,1,1,,,,,,0,,0,,0
2021-09-25 20:00:00,1,0,,,,,,0,,0,,0
2021-10-19 14:00:00,1,0,,,,,,0,,0,,0
2021-11-05 01:00:00,1,1,,,,,,0,,0,,0
2021-11-06 14:00:00,1,1,,,,,,0,,0,,0
2021-11-19 10:00:00,1,1,,,,,,0,,0,,0
2021-11-24 20:00:00,1,1,,,,,,0,,0,,0
2021-11-24 21:00:00,2,2,,,,,,0,,0,,0
2021-11-24 22:00:00,1,1,,,,,,0,,0,,0
2021-11-24 23:00:00,2,2,,,,,,0,,0,,0
2021-11-25 00:00:00,6,4,,,,,,0,,2,1.0,0
2021-11-25 01:00:00,1,0,,,,,,0,,1,0.0,0
2021-11-25 03:00:00,2,1,,,,,,0,,1,1.0,0
2021-11-25 04:00:00,1,1,,,,,,0,,0,,0
2021-11-25 07:00:00,1,1,,,,,,0,,0,,0
2021-11-25 08:00:00,3,2,,,,,,0,,1,1.0,0
2021-11-25 09:00:00,2,1,,,,,,0,,1,1.0,0
2021-11-25 10:00:00,1,1,,,,,,0,,0,,0
2021-11-30 15:00:00,1,0,,,,,,0,,0,,0
2021-12-17 08:00:00,1,0,,,,,,0,,1,1.0,0
2021-12-29 04:00:00,2,2,,,,,,0,,0,,0
2022-01-03 12:00:00,1,0,,,,,,0,,1,0.0,0
2022-01-05 23:00:00,1,1,,,,,,0,,0,,0
2022-01-07 01:00:00,1,1,,,,,,0,,0,,0
2022-01-08 16:00:00,1,1,,,,,,0,,0,,0
2022-01-11 09:00:00,1,1,,,,,,0,,0,,0
2022-01-11 11:00:00,1,1,,,,,,0,,0,,0
2022-01-12 06:00:00,1,1,,,,,,0,,0,,0
2022-01-12 12:00:00,1,1,,,,,,0,,0,,0
2022-01-13 19:00:00,1,1,,,,,,0,,0,,0
2022-01-14 16:00:00,1,0,,,,,,0,,1,1.0,0
2022-01-14 23:00:00,1,1,,,,,,0,,0,,0
2022-01-15 03:00:00,1,1,,,,,,0,,0,,0
2022-01-15 05:00:00,1,1,,,,,,0,,0,,0
2022-01-15 17:00:00,1,1,,,,,,0,,0,,0
2022-01-15 20:00:00,1,1,,,,,,0,,0,,0
2022-01-17 13:00:00,1,0,,,,,,0,,0,,0
2022-01-18 21:00:00,1,0,,,,,,0,,1,1.0,0
2022-01-18 23:00:00,1,1,,,,,,0,,0,,0
2022-01-20 13:00:00,1,0,,,,,,0,,0,,0
2022-01-21 14:00:00,1,0,,,,,,0,,1,1.0,0
2022-01-21 15:00:00,1,0,,,,,,0,,0,,0
2022-01-23 21:00:00,1,1,,,,,,0,,0,,0
2022-01-25 15:00:00,1,1,,,,,,0,,0,,0
2022-01-26 00:00:00,1,1,,,,,,0,,0,,0
2022-02-04 16:00:00,1,1,,,,,,0,,0,,0
2022-02-05 14:00:00,1,0,,,,,,0,,1,0.0,0
2022-02-07 15:00:00,1,1,,,,,,0,,0,,0
2022-02-08 17:00:00,1,1,,,,,,0,,0,,0
2022-02-11 08:00:00,1,1,,,,,,0,,0,,0
2022-02-12 10:00:00,1,0,,,,,,0,,0,,0
2022-02-16 16:00:00,1,1,,,,,,0,,0,,0
2022-02-21 21:00:00,1,1,,,,,,0,,0,,0
2022-02-23 19:00:00,1,1,,,,,,0,,0,,0
2022-02-24 21:00:00,1,1,,,,,,0,,0,,0
2022-02-26 13:00:00,1,1,,,,,,0,,0,,0
2022-03-02 04:00:00,1,0,,,,,,0,,0,,0
2022-03-02 08:00:00,1,0,,,,,,0,,0,,0
2022-03-08 03:00:00,1,0,,,,,,0,,0,,0
2022-03-08 21:00:00,1,0,,,,,,0,,1,1.0,0
2022-03-09 14:00:00,1,0,,,,,,0,,0,,0
2022-03-09 15:00:00,1,0,,,,,,0,,1,1.0,0
2022-03-12 17:00:00,1,0,,,,,,0,,1,0.0,0
2022-03-13 09:00:00,1,1,,,,,,0,,0,,0
2022-03-13 10:00:00,1,0,,,,,,0,,0,,0
2022-03-13 12:00:00,1,1,,,,,,0,,0,,0
2022-03-13 14:00:00,1,1,,,,,,0,,0,,0
2022-03-13 16:00:00,1,1,,,,,,0,,0,,0
2022-03-14 11:00:00,28,16,0.375,0.625,0.0,0.375,0.375,0,,11,0.6363636363636364,0
2022-03-14 12:00:00,185,140,0.2785714285714286,0.4785714285714286,0.24285714285714285,0.5214285714285715,0.035714285714285726,0,,42,0.7380952380952381,1
2022-03-14 13:00:00,207,126,0.31746031746031744,0.5476190476190477,0.1349206349206349,0.45238095238095233,0.18253968253968253,5,1.0,65,0.5692307692307692,0
2022-03-14 14:00:00,203,123,0.3252032520325203,0.5040650406504065,0.17073170731707318,0.49593495934959353,0.15447154471544713,12,0.8333333333333334,48,0.5208333333333334,1
2022-03-14 15:00:00,184,103,0.2815533980582524,0.5145631067961165,0.20388349514563106,0.4854368932038835,0.07766990291262135,11,0.7272727272727273,38,0.6052631578947368,1
2022-03-14 16:00:00,160,82,0.3048780487804878,0.4634146341463415,0.23170731707317074,0.5365853658536586,0.07317073170731705,10,0.7,43,0.4883720930232558,2
2022-03-14 17:00:00,89,47,0.2978723404255319,0.5957446808510638,0.10638297872340426,0.40425531914893614,0.19148936170212766,1,1.0,27,0.5185185185185185,1
2022-03-14 18:00:00,30,14,0.21428571428571427,0.5714285714285714,0.21428571428571427,0.42857142857142855,0.0,2,0.0,10,0.3,1
2022-03-14 19:00:00,8,4,,,,,,0,,2,0.0,1
2022-03-14 20:00:00,6,1,,,,,,0,,2,0.5,0
2022-03-14 21:00:00,1,1,,,,,,0,,0,,0
2022-03-14 22:00:00,4,1,,,,,,0,,1,1.0,1
2022-03-14 23:00:00,4,2,,,,,,0,,0,,0
2022-03-15 00:00:00,1,1,,,,,,0,,0,,0
2022-03-15 04:00:00,1,0,,,,,,0,,1,1.0,0
2022-03-15 07:00:00,3,1,,,,,,0,,1,1.0,0
2022-03-15 08:00:00,2,1,,,,,,0,,0,,0
2022-03-15 09:00:00,3,2,,,,,,0,,1,1.0,0
2022-03-15 10:00:00,2,1,,,,,,1,1.0,0,,0
2022-03-15 11:00:00,2,0,,,,,,0,,0,,0
2022-03-15 13:00:00,3,2,,,,,,0,,1,0.0,0
2022-03-15 14:00:00,1,0,,,,,,0,,1,1.0,0
2022-03-15 15:00:00,2,1,,,,,,0,,0,,1
2022-03-15 16:00:00,2,1,,,,,,0,,1,0.0,0
2022-03-15 18:00:00,1,0,,,,,,0,,0,,0
2022-03-15 19:00:00,1,1,,,,,,0,,0,,0
2022-03-15 20:00:00,2,1,,,,,,0,,0,,0
2022-03-16 06:00:00,1,1,,,,,,0,,0,,0
2022-03-16 08:00:00,1,1,,,,,,0,,0,,0
2022-03-16 09:00:00,1,0,,,,,,0,,0,,0
2022-03-16 14:00:00,1,1,,,,,,0,,0,,0
2022-03-16 15:00:00,1,1,,,,,,0,,0,,0
2022-03-16 16:00:00,2,0,,,,,,0,,0,,0
2022-03-16 17:00:00,3,1,,,,,,0,,2,1.0,0
2022-03-16 20:00:00,1,0,,,,,,0,,0,,0
2022-03-17 11:00:00,1,0,,,,,,0,,1,0.0,0
2022-03-17 20:00:00,1,0,,,,,,0,,0,,0
2022-03-18 10:00:00,2,0,,,,,,0,,2,0.0,0
2022-03-18 11:00:00,2,0,,,,,,0,,2,0.5,0
2022-03-18 14:00:00,2,1,,,,,,0,,1,0.0,0
2022-03-20 09:00:00,1,1,,,,,,0,,0,,0
2022-03-20 21:00:00,1,1,,,,,,0,,0,,0
2022-03-21 13:00:00,1,1,,,,,,0,,0,,0
2022-03-23 08:00:00,1,1,,,,,,0,,0,,0
2022-03-23 10:00:00,2,2,,,,,,0,,0,,0
2022-03-23 11:00:00,1,0,,,,,,0,,0,,0
2022-03-23 17:00:00,1,1,,,,,,0,,0,,0
2022-03-24 13:00:00,1,1,,,,,,0,,0,,0
2022-03-24 19:00:00,1,0,,,,,,0,,0,,0
2022-03-24 22:00:00,1,0,,,,,,0,,1,1.0,0
2022-03-25 13:00:00,1,1,,,,,,0,,0,,0
2022-03-25 15:00:00,1,0,,,,,,0,,1,1.0,0
2022-03-26 06:00:00,1,1,,,,,,0,,0,,0
2022-03-26 22:00:00,1,1,,,,,,0,,0,,0
2022-03-27 08:00:00,1,1,,,,,,0,,0,,0
2022-03-28 10:00:00,1,0,,,,,,0,,0,,0
2022-03-28 17:00:00,1,1,,,,,,0,,0,,0
2022-03-30 14:00:00,1,0,,,,,,0,,0,,0
2022-03-31 22:00:00,1,0,,,,,,0,,1,0.0,0
2022-04-01 11:00:00,1,0,,,,,,0,,0,,0
2022-04-02 12:00:00,1,1,,,,,,0,,0,,0
2022-04-02 20:00:00,1,0,,,,,,0,,1,1.0,0
2022-04-02 23:00:00,1,1,,,,,,0,,0,,0
2022-04-03 08:00:00,1,1,,,,,,0,,0,,0
2022-04-03 18:00:00,1,1,,,,,,0,,0,,0
2022-04-05 13:00:00,1,0,,,,,,1,1.0,0,,0
2022-04-05 15:00:00,1,1,,,,,,0,,0,,0
2022-04-05 22:00:00,2,1,,,,,,0,,0,,0
2022-04-06 11:00:00,1,1,,,,,,0,,0,,0
2022-04-06 20:00:00,1,0,,,,,,0,,0,,0
2022-04-07 20:00:00,1,1,,,,,,0,,0,,0
