time_window,n_posts,n_public,X_H,X_M,X_L,a,Q,n_mainstream,p_risk_mainstream,n_wemedia,p_risk_wemedia,n_government,r_proxy,dQ_dt,abs_dQ_dt,Q_volatility,Q_rolling_ac1,Q_rolling_mean,Q_rolling_var,Q_rolling_std
2022-03-02 04:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
2022-03-02 08:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
2022-03-08 03:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
2022-03-08 21:00:00,1,0,,,,,,0,,1,1.0,0,1.0,,,,,,,
2022-03-09 14:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
2022-03-09 15:00:00,1,0,,,,,,0,,1,1.0,0,1.0,,,,,,,
2022-03-12 17:00:00,1,0,,,,,,0,,1,0.0,0,1.0,,,,,,,
2022-03-13 09:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-13 10:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
2022-03-13 12:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-13 14:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-13 16:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-14 11:00:00,27,16,0.375,0.625,0.0,0.375,0.375,0,,10,0.7,0,1.0,,,,,0.375,,
2022-03-14 12:00:00,182,139,0.2517985611510791,0.4892086330935252,0.2589928057553957,0.5107913669064748,-0.0071942446043165575,0,,41,0.6829268292682927,1,1.0,-0.38219424460431656,0.38219424460431656,,,0.18390287769784172,0.07303622030433207,0.2702521420901823
2022-03-14 13:00:00,168,115,0.30434782608695654,0.5478260869565217,0.14782608695652175,0.4521739130434783,0.1565217391304348,3,0.6666666666666666,45,0.5111111111111111,0,0.9375,0.16371598373475135,0.16371598373475135,0.19174988674985413,-0.6692091272107361,0.1747758315087061,0.03676801906858188,0.19174988674985413
2022-03-14 14:00:00,178,121,0.32231404958677684,0.5041322314049587,0.17355371900826447,0.49586776859504134,0.14876033057851237,3,0.6666666666666666,44,0.4772727272727273,1,0.9361702127659575,-0.007761408551922422,0.007761408551922422,0.15710255976447407,-0.7076397237203275,0.16827195627615765,0.02468121428455015,0.15710255976447407
2022-03-14 15:00:00,153,97,0.28865979381443296,0.5257731958762887,0.18556701030927836,0.4742268041237113,0.1030927835051546,3,0.0,36,0.5555555555555556,1,0.9230769230769231,-0.04566754707335777,0.04566754707335777,0.13914228554265975,-0.7623176772440142,0.15523612172195705,0.019360575626035065,0.13914228554265975
2022-03-14 16:00:00,131,79,0.3037974683544304,0.45569620253164556,0.24050632911392406,0.5443037974683544,0.06329113924050633,3,0.0,37,0.4594594594594595,1,0.925,-0.03980164426464827,0.03980164426464827,0.12999015527369923,-0.7173873539549197,0.1399119579750486,0.016897440468080432,0.12999015527369923
2022-03-14 17:00:00,78,46,0.30434782608695654,0.6086956521739131,0.08695652173913043,0.391304347826087,0.2173913043478261,0,,25,0.48,0,1.0,0.15410016510731978,0.15410016510731978,0.07884640823876053,-0.4775091044342883,0.11364384203301962,0.006216756092153284,0.07884640823876053
2022-03-14 18:00:00,26,14,0.21428571428571427,0.5714285714285714,0.21428571428571427,0.42857142857142855,0.0,1,0.0,10,0.3,0,0.9090909090909091,-0.2173913043478261,0.2173913043478261,0.07666581235211539,-0.7296542860531156,0.11484288280040571,0.005877646783609769,0.07666581235211539
2022-03-14 19:00:00,8,4,0.25,0.75,0.0,0.25,0.25,0,,2,0.0,1,1.0,0.25,0.25,0.0942997231953252,-0.861862559781628,0.13042259294533323,0.008892437794714953,0.0942997231953252
2022-03-14 20:00:00,3,1,,,,,,0,,1,0.0,0,1.0,,,0.10495077635226285,-0.8849778202328183,0.12675504541869742,0.011014665456942697,0.10495077635226285
2022-03-14 21:00:00,1,1,,,,,,0,,0,,0,,,,0.12022033040656284,-0.9677382197240803,0.13267061089708312,0.014452927843063137,0.12022033040656284
2022-03-14 22:00:00,2,1,,,,,,0,,0,,0,,,,0.13590579227181923,-0.795797131726473,0.1557971014492754,0.018470384373030876,0.13590579227181923
2022-03-14 23:00:00,2,2,,,,,,0,,0,,0,,,,,,0.12500000000000003,0.03125000000000001,0.1767766952966369
2022-03-15 00:00:00,1,1,,,,,,0,,0,,0,,,,,,0.25,,
2022-03-15 04:00:00,1,0,,,,,,0,,1,1.0,0,1.0,,,,,,,
2022-03-15 07:00:00,2,1,,,,,,0,,1,0.0,0,1.0,,,,,,,
2022-03-15 08:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-15 09:00:00,3,2,,,,,,0,,1,1.0,0,1.0,,,,,,,
2022-03-15 10:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-15 13:00:00,3,2,,,,,,0,,1,0.0,0,1.0,,,,,,,
2022-03-15 14:00:00,1,0,,,,,,0,,1,1.0,0,1.0,,,,,,,
2022-03-15 15:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-15 16:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-15 19:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-15 20:00:00,2,1,,,,,,0,,0,,0,,,,,,,,
2022-03-16 06:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-16 09:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
