source_user,target_user,weight,n_topic_direct,n_repost_mapped
呵呵上海2012,林步里,83,83,0
YKZ崽崽_我耐你m,用户2733751065,70,70,0
盛夏-018,用户2733751065,61,61,0
盛唐唐唐,用户2733751065,59,59,0
江卓尔_发言号2,江卓尔_大号,57,0,57
得意学堂岱珈,得意学堂岱珈,56,2,54
高春梅的天空,用户2733751065,56,56,0
用户2733751065,用户2733751065,53,53,0
江卓尔_发言号3,江卓尔_大号,53,0,53
钥匙28814,人民日报,51,0,51
得意学堂岱珈,得意的弦小二,32,0,32
曾生要賺錢練肌肉,曾生要賺錢練肌肉,29,0,29
老杨鸿,老杨鸿,29,0,29
银卓金融YZ银卓法律,银卓金融YZ银卓法律,29,27,2
用户7769774439,陕西汉书下酒,27,0,27
南海客尘,南海客尘,24,24,0
赤jio熊喵,赤jio熊喵,22,22,0
maisui114404,大耳朵中医,19,1,18
吉祥8643,阿司匹林42195米,18,2,16
半叽佬虎,小肆在喝水,18,0,18
林中松鼠花间蝶,陕西汉书下酒,18,0,18
朱漆方台,江卓尔_大号,18,0,18
盼公道的老阿姨,用户2733751065,17,17,0
路人丁开挖掘机,路人丁开挖掘机,17,5,12
穆国龙13904582878,用户2733751065,16,16,0
重庆南岸李华兰,用户2733751065,16,16,0
小小一小丽,陕西汉书下酒,16,0,16
要改正要学好,陕西汉书下酒,16,2,14
极客红石,拍帮主,16,15,1
日本沙雕日常,生草字幕组,15,4,11
天涯浪子觅知音,天涯浪子觅知音,15,0,15
意大利华裔郭医生,意大利华裔郭医生,14,14,0
蒙味始觉,蒙味始觉,14,0,14
世间行者本尊,江卓尔_大号,13,0,13
元宝兔兔好运,中医田应旭,13,0,13
Sniper-trade,陕西汉书下酒,13,0,13
森南有鹿_apv,江卓尔_大号,12,1,11
日本笑死我了,生草字幕组,12,3,9
杨逢春2015,大耳朵中医,12,0,12
北京鲁戈,北京鲁戈,12,6,6
豆豆的口水流下来了,中医田应旭,12,1,11
九碥技术华泰砭石,健康众筹王,12,12,0
快乐de小丸子O,木白弓虽,11,7,4
红色经典白,红色经典白,11,11,0
中医田应旭,中医张恒毅,11,2,9
rickyaoyao,rickyaoyao,11,0,11
地瓜熊老六,地瓜熊老六,11,0,11
永不止步168163,人民日报,10,0,10
雷神1999,江卓尔_大号,10,8,2
苗麦吉,江卓尔_大号,10,0,10
冬日暖阳86323,大耳朵中医,10,0,10
张博士药食健康,中医田应旭,10,0,10
得意的弦小二,得意的弦小二,10,0,10
用户7827262682,陕西汉书下酒,10,0,10
FLOOR_Ning,FLOOR_Ning,10,5,5
呵呵上海2012,呵呵上海2012,9,9,0
石锋强988,大耳朵中医,9,0,9
重庆舒忠余窝案,用户2733751065,9,9,0
飞龙中医,飞龙中医,9,2,7
呵呵上海2012,三个老爸实验室,9,9,0
ebnash,南海客尘,9,9,0
迷惑沙雕bot,生草字幕组,9,1,8
李八月0707,中医田应旭,9,0,9
大耳朵中医,大耳朵中医,9,1,8
用户7039290824,大耳朵中医,9,0,9
安微宣城傅荣梅维权,用户2733751065,9,9,0
冰山来客的围脖,大耳朵中医,9,0,9
believablehua,江卓尔_大号,9,0,9
陀螺不自转,江卓尔_大号,9,0,9
非歌如梦,非歌如梦,8,8,0
林步里,林步里,8,8,0
快乐的葛彤,大耳朵中医,8,0,8
金池荷涟涟,南海客尘,8,8,0
jlj6661_pkl,中医范圣华,8,0,8
窗前的kelly,中医田应旭,8,1,7
呵呵上海2012,圣蛇杖,8,8,0
喵爱吃鱼丫,梅子在想什么,8,0,8
想好了再来改ID,想好了再来改ID,8,0,8
海上升明月0837,陕西汉书下酒,8,0,8
phaniitom,小猪男孩,8,0,8
司法公平公正公开,天津徐玉强,8,8,0
用户6095759302,大耳朵中医,7,0,7
shixiangjun111,大耳朵中医,7,0,7
哦呼呼哦呼,生草字幕组,7,0,7
泊水卫生-刘爱梅,代县胡永胜,7,0,7
风的生活记,生草字幕组,7,0,7
要改正要学好,南海客尘,7,7,0
呵呵上海2012,方脑壳邓铂鋆,7,7,0
甜酸水果,阿司匹林42195米,7,0,7
用户5391698620,大耳朵中医,7,0,7
教你在家做理疗,老李乐观天下,7,5,2
赫尔阿柯蒂,飞龙中医,7,1,6
HH必须会飞,生草字幕组,7,0,7
用户7821370827,林步里,7,7,0
大铁无锋_582,大耳朵中医,7,0,7
秋枫_暮霞_,大耳朵中医,7,0,7
金池荷涟涟,陕西汉书下酒,7,7,0
生草字幕组,生草字幕组,7,0,7
亟兮般若,亟兮般若,7,1,6
秋分天下,陕西汉书下酒,7,2,5
夜满月Crystal,林步里,7,6,1
中医黄锐,中医田应旭,7,2,5
苏南格林,中医田应旭,7,0,7
王以杏,陕西汉书下酒,7,0,7
我爱丫丫悟,我爱丫丫悟,7,7,0
右布比卡因,大耳朵中医,7,0,7
青春无畏2012,大耳朵中医,6,0,6
飞蠓,三思逍遥,6,0,6
虹玲h,飞龙中医,6,1,5
ebnash,林步里,6,6,0
wbmdx,飞龙中医,6,0,6
万事风过耳,生草字幕组,6,0,6
王敬刮痧,王敬刮痧,6,6,0
张利成都,陳炫達叔叔,6,6,0
徐归尘,南海客尘,6,6,0
拍帮主,拍帮主,6,6,0
巴音布鲁克天鹅湖96,陕西汉书下酒,6,0,6
左董英子,南海客尘,6,6,0
NOSTUPID3,NOSTUPID3,6,6,0
陳炫達叔叔,陳炫達叔叔,6,6,0
静心淡雅aa,十八子金名,6,0,6
牵伊伊小手,牵伊伊小手,6,3,3
沽口老王,大耳朵中医,6,0,6
呵呵上海2012,梅子在想什么,6,5,1
呵呵上海2012,江卓尔_大号,6,3,3
VeroYan1108燕小榮,WS偏执狂,6,0,6
人间一束花,代县胡永胜,6,0,6
lavender-loyal,中医刘茜檬,6,0,6
用户5772325923,大耳朵中医,6,1,5
待头发掉光携手出家可好Orz,生草字幕组,6,1,5
肖抹茶,生草字幕组,6,1,5
MLRS270,MLRS270,6,6,0
东方视界aqiang,江卓尔_大号,6,0,6
博爱定西,张胜军,6,2,4
医武郭石磊,中医田应旭,6,0,6
桥永真,大耳朵中医,6,0,6
快乐godwin,张作风流行病学教授UCLA,6,0,6
都市怪诞录,生草字幕组,6,1,5
快乐godwin,阿司匹林42195米,6,0,6
纶柒紗琉,纶柒紗琉,6,3,3
鱼川可奈子,江卓尔_大号,6,0,6
居然说我昵称不可用艹,江卓尔_大号,6,0,6
世界那么大爱你那么多,得意的弦小二,6,0,6
世界那么大爱你那么多,得意学堂岱珈,6,0,6
九九_75209,大耳朵中医,6,0,6
誓言浮躁无常1995,寰亚SYHP,6,0,6
sunlei198508,生草字幕组,6,1,5
杰歪今天要早睡,老李乐观天下,6,4,2
云天远行遥望,同花顺,6,0,6
妞妞一翎,生草字幕组,6,0,6
聽小啾喵喵喵,陕西汉书下酒,6,0,6
叶行舟_作者大大们今天更新了吗,生草字幕组,6,0,6
我方存在感极其低下,生草字幕组,6,2,4
薏米薏米酱_,薏米薏米酱_,6,3,3
经方梧桐先生,经方梧桐先生,6,6,0
烟雨笙笙,陳炫達叔叔,6,6,0
隐默_32238,隐默_32238,6,6,0
小猫的夏天1314,王言嘉-,6,0,6
moonn87,大耳朵中医,6,0,6
暖阳倾城6799,大耳朵中医,6,0,6
冬日暖阳86323,中医刘茜檬,6,0,6
随风荡事,中医田应旭,6,0,6
随缘度世林一生,随缘度世林一生,6,6,0
淘淘姐66,陕西汉书下酒,6,1,5
呵呵上海2012,拍帮主,6,5,1
佳学基因,佳学基因解码基因检测,6,3,3
我係盲俠,生草字幕组,6,1,5
极客红石,林步里,6,6,0
我是希尔瑞思,每日经济新闻,6,6,0
山水闲人Jane,贺荷文化科技,5,0,5
不要忙671,贝壳财经,5,0,5
吉星拱照1419,陕西汉书下酒,5,0,5
四川魏静,四川魏静,5,2,3
哈吉米修勾,生草字幕组,5,0,5
archer_娜娜,生草字幕组,5,2,3
福林艺术玻璃,江卓尔_大号,5,0,5
斯人么,生草字幕组,5,0,5
灰灰是蓝猫,星话大白,5,0,5
长沙廷下牛马走,大耳朵中医,5,1,4
徐归尘,飞龙中医,5,1,4
mwxex,上帝之鹰_5zn,5,0,5
Binary星星,生草字幕组,5,0,5
单桂敏是我,单桂敏是我,5,5,0
铜陵经开公安在线,铜陵公安在线,5,0,5
oddsratio,生草字幕组,5,0,5
Qianzhizaosh,生草字幕组,5,1,4
铜官公安在线,铜陵公安在线,5,0,5
hedyhyx,陕西汉书下酒,5,0,5
kiss禕吻定情_,鞠婧祎,5,5,0
你乾坤哥,止谣君,5,0,5
阿赖198201,李贵明-医生,5,0,5
江湖夜雨遇见猫,生草字幕组,5,0,5
baby-unicorn,三个老爸实验室,5,4,1
就是爱的秘密,四川魏静,5,0,5
八卦任我行,生草字幕组,5,0,5
w71999,十八子金名,5,0,5
黄炎洪,风闻社区,5,0,5
