user_name,mid,publish_time,emotion_class,risk_class,emotion_confidence,user_type_raw,node_type_3class,in_study_window
lemon丶66,4486346854783576,2020-03-25 12:51:00,M,risk,0.7,public,ordinary,False
长弓白石文王,4501186348492875,2020-05-05 11:38:00,L,norisk,0.8,public,ordinary,False
澳洲微报AuweNews,4504565208086027,2020-05-14 19:24:00,H,risk,0.95,wemedia,wemedia,False
视角志,4504804603450936,2020-05-15 11:16:00,M,risk,0.95,wemedia,wemedia,False
北京众成医疗律师团队,4526255074129559,2020-07-13 15:52:00,H,risk,0.95,public,ordinary,False
北京众成医疗律师团队,4526255640669777,2020-07-13 15:55:00,M,risk,0.8,public,ordinary,False
北京众成医疗律师团队,4526258422423413,2020-07-13 16:06:00,M,risk,0.95,public,ordinary,False
可爱的洪水猛兽_-_,4530319854930984,2020-07-24 21:04:00,M,risk,0.95,public,ordinary,False
韩国中央日报,4539939314472210,2020-08-20 10:09:00,M,risk,0.8,mainstream,mainstream,False
Asita-,4560757477346498,2020-10-16 20:52:00,L,risk,0.8,wemedia,wemedia,False
春暖花开daydayup,4570802857186180,2020-11-13 14:09:00,M,risk,0.9,public,ordinary,False
CGTN记者团,4581007384642242,2020-12-11 17:58:00,H,risk,0.95,mainstream,mainstream,False
广州新闻电台FM962,4581021029505153,2020-12-11 18:53:00,H,risk,0.95,mainstream,mainstream,False
徐坤冤枉0703声明我一个字都不信,4585789587983521,2020-12-24 22:41:00,M,risk,0.8,public,ordinary,False
洛杉矶华人资讯网,4588149744080845,2020-12-31 11:00:00,M,risk,0.95,other,ordinary,False
正要说啥,4591505303417170,2021-01-09 17:13:00,M,risk,0.95,wemedia,wemedia,False
韩民族日报中文网,4593617966210971,2021-01-15 13:08:00,M,risk,0.95,mainstream,mainstream,False
leo在京都,4595917535326203,2021-01-21 21:26:00,M,risk,0.8,public,ordinary,False
笑看白云,4596827083244697,2021-01-24 09:40:00,H,risk,0.85,wemedia,wemedia,False
韩国中央日报,4598011101453805,2021-01-27 16:05:00,M,risk,0.8,mainstream,mainstream,False
英伦圈,4598533153620668,2021-01-29 02:40:00,H,risk,0.95,other,ordinary,False
宋中清主任律师,4602477603461768,2021-02-08 23:53:00,H,risk,0.95,public,ordinary,False
北京天坛普华医院会诊中心,4605942224653678,2021-02-18 13:21:00,M,risk,0.85,public,ordinary,False
天下衛視,4610950143937042,2021-03-04 09:00:00,H,risk,0.95,other,ordinary,False
桑田卓馬Sangtianzhuoma,4612203511026148,2021-03-07 20:01:00,M,norisk,0.8,wemedia,wemedia,False
美国侨报网,4617718915663732,2021-03-23 01:17:00,H,risk,0.95,mainstream,mainstream,False
好奇心研究室,4625583860356063,2021-04-13 18:09:00,M,risk,0.8,wemedia,wemedia,False
咬不烂的番茄,4642676982944238,2021-05-30 22:11:00,L,risk,0.7,wemedia,wemedia,False
段芝堂hpv克星,4645771426663874,2021-06-08 11:08:00,M,norisk,0.8,public,ordinary,False
医娘思媛v13588061653,4649470668571861,2021-06-18 16:07:00,M,norisk,0.8,public,ordinary,False
海国图智研究院,4659298556447438,2021-07-15 19:00:00,M,risk,0.95,other,ordinary,False
溧阳人在珀斯,4665240069865502,2021-08-01 04:29:00,M,risk,0.8,public,ordinary,False
溧阳人在珀斯,4665251922182839,2021-08-01 05:16:00,H,risk,0.95,public,ordinary,False
溧阳人在珀斯,4666039910274717,2021-08-03 09:27:00,M,risk,0.85,public,ordinary,False
溧阳人在珀斯,4666066145905476,2021-08-03 11:12:00,M,norisk,0.85,public,ordinary,False
命运的金手指,4666817240631117,2021-08-05 12:56:00,M,risk,0.95,public,ordinary,False
溧阳人在珀斯,4667591357892704,2021-08-07 16:12:00,M,risk,0.85,public,ordinary,False
溧阳人在珀斯,4668242583097174,2021-08-09 11:20:00,M,risk,0.8,public,ordinary,False
溧阳人在珀斯,4668242880892400,2021-08-09 11:21:00,M,risk,0.8,public,ordinary,False
泰国暹罗飞鸟,4679613408349034,2021-09-09 20:24:00,M,risk,0.85,wemedia,wemedia,False
宋中清主任律师,4681834338717911,2021-09-15 23:29:00,H,risk,0.95,public,ordinary,False
海国图智研究院,4685415632606947,2021-09-25 20:40:00,M,risk,0.95,other,ordinary,False
健识局,4694025947581553,2021-10-19 14:54:00,M,risk,0.95,other,ordinary,False
Xcheese,4699990318121651,2021-11-05 01:54:00,H,risk,0.95,public,ordinary,False
丶长空灬,4700548870439633,2021-11-06 14:54:00,M,norisk,0.5,public,ordinary,False
蔡子博士,4705189803852639,2021-11-19 10:15:00,M,risk,0.8,public,ordinary,False
哔·挽尊卡·,4707151307869122,2021-11-24 20:09:00,L,risk,0.8,public,ordinary,False
吃奶糖的大白兔公主,4707173076305771,2021-11-24 21:36:00,M,risk,0.8,public,ordinary,False
带礼帽问好,4707177639447754,2021-11-24 21:54:00,M,norisk,0.5,public,ordinary,False
今天取名依然好难,4707190840231472,2021-11-24 22:46:00,M,norisk,0.8,public,ordinary,False
堪堪彼时,4707194911854771,2021-11-24 23:03:00,H,risk,0.95,public,ordinary,False
肖肖的海王呀,4707195259717973,2021-11-24 23:04:00,M,risk,0.8,public,ordinary,False
