exposure_group,week,n_transitions,upgrade_rate,cooling_rate
mainstream_only,2022-11-28/2022-12-04,2,0.0,0.0
wemedia_only,2022-11-28/2022-12-04,1,0.0,0.0
dual,2022-12-05/2022-12-11,4,0.25,0.5
mainstream_only,2022-12-05/2022-12-11,18,0.05555555555555555,0.0
wemedia_only,2022-12-05/2022-12-11,2,0.0,0.0
mainstream_only,2022-12-12/2022-12-18,12,0.0,0.08333333333333333
wemedia_only,2022-12-12/2022-12-18,3,0.0,0.0
mainstream_only,2022-12-19/2022-12-25,1,0.0,0.0
wemedia_only,2022-12-19/2022-12-25,2,0.0,0.0
dual,2022-12-26/2023-01-01,1,0.0,0.0
mainstream_only,2022-12-26/2023-01-01,7,0.0,0.0
wemedia_only,2022-12-26/2023-01-01,2,0.5,0.0
