date,n_mainstream_posts,n_wemedia_posts,n_public_posts,mainstream_risk,wemedia_risk,public_H
2022-10-01,3,0,2,0.3333333333333333,,0.0
2022-10-02,1,0,1,0.0,,0.0
2022-10-03,1,0,1,0.0,,1.0
2022-10-04,1,0,1,0.0,,1.0
2022-10-05,2,0,1,0.0,,0.0
2022-10-06,3,0,0,0.6666666666666666,,
2022-10-07,4,0,2,0.0,,0.0
2022-10-08,5,1,1,0.0,0.0,0.0
2022-10-09,4,1,4,0.25,1.0,0.0
2022-10-10,6,1,2,0.16666666666666666,0.0,0.5
2022-10-11,8,1,5,0.375,0.0,0.4
2022-10-12,6,0,2,0.0,,0.0
2022-10-13,4,0,8,0.5,,0.125
2022-10-14,39,6,17,0.5897435897435898,0.8333333333333334,0.0
2022-10-15,3,2,6,0.0,0.5,0.5
2022-10-16,2,0,1,0.0,,0.0
2022-10-17,3,0,2,0.6666666666666666,,0.0
2022-10-18,4,1,2,0.25,0.0,0.0
2022-10-19,2,0,1,0.0,,1.0
2022-10-20,3,0,3,0.3333333333333333,,0.0
2022-10-21,1,1,1,0.0,0.0,0.0
2022-10-22,2,1,3,0.0,1.0,0.0
2022-10-23,3,0,0,0.0,,
2022-10-24,1,0,0,1.0,,
2022-10-25,1,2,0,0.0,0.0,
2022-10-26,4,2,1,0.0,0.0,0.0
2022-10-27,5,2,2,0.0,0.5,0.5
2022-10-28,2,1,1,0.0,1.0,1.0
2022-10-29,1,0,2,0.0,,0.5
2022-10-30,0,0,3,,,0.6666666666666666
2022-10-31,2,0,1,0.5,,1.0
2022-11-01,4,0,4,0.0,,0.0
2022-11-02,4,1,7,0.0,1.0,0.14285714285714285
2022-11-03,13,3,6,0.3076923076923077,0.6666666666666666,0.0
2022-11-04,5,1,6,0.2,1.0,0.0
2022-11-05,4,0,9,0.25,,0.1111111111111111
2022-11-06,4,1,1,0.25,0.0,0.0
2022-11-07,4,0,7,0.25,,0.0
2022-11-08,2,3,1,0.0,0.6666666666666666,1.0
2022-11-09,1,1,3,1.0,0.0,0.0
2022-11-10,4,0,1,0.0,,0.0
2022-11-11,1,0,3,0.0,,0.0
2022-11-12,0,0,2,,,0.0
2022-11-13,4,1,3,0.0,1.0,0.0
2022-11-14,4,1,3,0.25,0.0,0.0
2022-11-15,1,3,14,0.0,0.0,0.21428571428571427
2022-11-16,1,2,9,0.0,0.0,0.2222222222222222
2022-11-17,6,2,8,0.0,0.5,0.125
2022-11-18,23,6,4,0.0,0.0,0.25
2022-11-19,5,0,5,0.0,,0.2
2022-11-20,3,1,6,0.0,0.0,0.3333333333333333
2022-11-21,9,5,6,0.0,0.0,0.0
2022-11-22,10,1,3,0.1,0.0,0.0
2022-11-23,7,0,7,0.0,,0.0
2022-11-24,3,4,8,0.3333333333333333,0.75,0.125
2022-11-25,2,1,10,0.5,0.0,0.0
2022-11-26,6,2,4,0.0,0.0,0.5
2022-11-27,11,1,7,0.36363636363636365,0.0,0.14285714285714285
2022-11-28,5,5,7,0.0,0.2,0.0
2022-11-29,36,5,7,0.08333333333333333,0.2,0.14285714285714285
2022-11-30,11,3,3,0.09090909090909091,0.0,0.3333333333333333
2022-12-01,58,6,23,0.08620689655172414,0.3333333333333333,0.08695652173913043
2022-12-02,15,3,15,0.0,0.0,0.2
2022-12-03,23,3,21,0.043478260869565216,0.3333333333333333,0.23809523809523808
2022-12-04,31,6,9,0.0,0.3333333333333333,0.0
2022-12-05,33,9,18,0.06060606060606061,0.1111111111111111,0.16666666666666666
2022-12-06,37,6,11,0.08108108108108109,0.0,0.0
2022-12-07,206,34,37,0.0,0.0,0.02702702702702703
2022-12-08,116,26,33,0.02586206896551724,0.07692307692307693,0.09090909090909091
2022-12-09,141,30,38,0.0070921985815602835,0.03333333333333333,0.02631578947368421
2022-12-10,55,11,21,0.05454545454545454,0.36363636363636365,0.047619047619047616
2022-12-11,84,13,30,0.0,0.07692307692307693,0.03333333333333333
2022-12-12,30,9,9,0.0,0.1111111111111111,0.1111111111111111
2022-12-13,24,6,25,0.16666666666666666,0.0,0.04
2022-12-14,29,4,21,0.034482758620689655,0.25,0.3333333333333333
2022-12-15,130,24,38,0.007692307692307693,0.08333333333333333,0.05263157894736842
2022-12-16,82,22,34,0.07317073170731707,0.045454545454545456,0.11764705882352941
2022-12-17,19,3,29,0.15789473684210525,0.3333333333333333,0.13793103448275862
2022-12-18,37,18,46,0.08108108108108109,0.16666666666666666,0.15217391304347827
2022-12-19,51,5,48,0.21568627450980393,0.6,0.125
2022-12-20,18,12,49,0.05555555555555555,0.25,0.16326530612244897
