exposure_group,week,n_transitions,upgrade_rate,cooling_rate
mainstream_only,2022-10-10/2022-10-16,24,0.0,0.0
wemedia_only,2022-10-10/2022-10-16,10,0.1,0.1
mainstream_only,2022-10-17/2022-10-23,1,0.0,0.0
mainstream_only,2022-10-31/2022-11-06,4,0.0,0.0
wemedia_only,2022-10-31/2022-11-06,1,0.0,0.0
dual,2022-11-07/2022-11-13,2,0.0,0.5
mainstream_only,2022-11-07/2022-11-13,2,0.0,0.0
wemedia_only,2022-11-14/2022-11-20,2,0.0,0.0
dual,2022-11-21/2022-11-27,3,0.0,0.0
mainstream_only,2022-11-21/2022-11-27,2,0.0,0.0
dual,2022-11-28/2022-12-04,10,0.2,0.1
mainstream_only,2022-11-28/2022-12-04,7,0.0,0.0
wemedia_only,2022-11-28/2022-12-04,13,0.07692307692307693,0.15384615384615385
dual,2022-12-05/2022-12-11,15,0.13333333333333333,0.2
mainstream_only,2022-12-05/2022-12-11,18,0.05555555555555555,0.0
wemedia_only,2022-12-05/2022-12-11,3,0.0,0.0
dual,2022-12-12/2022-12-18,3,0.0,0.0
mainstream_only,2022-12-12/2022-12-18,16,0.0,0.0625
wemedia_only,2022-12-12/2022-12-18,4,0.0,0.0
mainstream_only,2022-12-19/2022-12-25,1,0.0,0.0
wemedia_only,2022-12-19/2022-12-25,5,0.0,0.0
dual,2022-12-26/2023-01-01,2,0.0,0.0
mainstream_only,2022-12-26/2023-01-01,10,0.0,0.0
wemedia_only,2022-12-26/2023-01-01,8,0.125,0.125
dual,2023-01-02/2023-01-08,10,0.3,0.3
mainstream_only,2023-01-02/2023-01-08,12,0.0,0.0
wemedia_only,2023-01-02/2023-01-08,5,0.0,0.0
dual,2023-01-09/2023-01-15,5,0.0,0.2
mainstream_only,2023-01-09/2023-01-15,2,0.0,0.0
wemedia_only,2023-01-09/2023-01-15,14,0.07142857142857142,0.0
dual,2023-01-16/2023-01-22,9,0.0,0.0
wemedia_only,2023-01-16/2023-01-22,18,0.0,0.0
dual,2023-01-23/2023-01-29,17,0.0,0.0
wemedia_only,2023-01-23/2023-01-29,2,0.0,0.0
dual,2023-01-30/2023-02-05,15,0.06666666666666667,0.0
mainstream_only,2023-01-30/2023-02-05,11,0.18181818181818182,0.0
wemedia_only,2023-01-30/2023-02-05,19,0.05263157894736842,0.0
dual,2023-02-06/2023-02-12,8,0.0,0.0
mainstream_only,2023-02-06/2023-02-12,2,0.0,0.0
wemedia_only,2023-02-06/2023-02-12,28,0.0,0.03571428571428571
dual,2023-02-13/2023-02-19,1,0.0,0.0
mainstream_only,2023-02-13/2023-02-19,4,0.0,0.0
wemedia_only,2023-02-13/2023-02-19,31,0.1935483870967742,0.1935483870967742
dual,2023-02-20/2023-02-26,1,0.0,0.0
mainstream_only,2023-02-20/2023-02-26,10,0.1,0.2
wemedia_only,2023-02-20/2023-02-26,11,0.0,0.0
wemedia_only,2023-02-27/2023-03-05,1,0.0,0.0
