user_name,mid,publish_time,emotion_class,risk_class,emotion_confidence,user_type_raw,node_type_3class,in_study_window
沧县普法办,4483879874025983,2020-03-18 17:28:00,M,norisk,,other,ordinary,True
铜陵发布,4483880083633226,2020-03-18 17:29:00,M,norisk,,government,mainstream,True
南阳新闻广播,4483880172191679,2020-03-18 17:30:00,M,norisk,,mainstream,mainstream,True
太原新闻网官方微博,4483880230866630,2020-03-18 17:30:00,M,norisk,,mainstream,mainstream,True
荆楚网,4483880444855726,2020-03-18 17:31:00,M,norisk,,mainstream,mainstream,True
城固宣传,4483880843029790,2020-03-18 17:32:00,M,norisk,,other,ordinary,True
西安国际港务区,4483882244321599,2020-03-18 17:38:00,M,norisk,,other,ordinary,True
北京广播,4483882533717836,2020-03-18 17:39:00,M,norisk,,mainstream,mainstream,True
生命时报,4483882571380108,2020-03-18 17:39:00,M,norisk,,mainstream,mainstream,True
郑兆瑞,4483883104423301,2020-03-18 17:41:00,M,norisk,,wemedia,wemedia,True
气象洛阳,4483883480935248,2020-03-18 17:43:00,M,norisk,,other,ordinary,True
天府发布,4483883548095906,2020-03-18 17:43:00,M,norisk,,government,mainstream,True
中新经纬,4483884550630930,2020-03-18 17:47:00,M,norisk,,other,ordinary,True
肇庆西江网,4483885473888491,2020-03-18 17:51:00,M,norisk,,other,ordinary,True
护林员2015,4483886929267458,2020-03-18 17:56:00,M,norisk,,wemedia,wemedia,True
玉林反邪,4483887038035209,2020-03-18 17:57:00,M,norisk,,other,ordinary,True
环球网健康,4483887788500695,2020-03-18 18:00:00,M,norisk,,other,ordinary,True
安徽反邪教,4483888358962971,2020-03-18 18:02:00,M,norisk,,mainstream,mainstream,True
安徽检察,4483891719369841,2020-03-18 18:15:00,M,norisk,,mainstream,mainstream,True
阜阳检察,4483893090348195,2020-03-18 18:21:00,M,norisk,,other,ordinary,True
成都商报,4483898576353514,2020-03-18 18:43:00,M,norisk,,mainstream,mainstream,True
济南生活,4483899289833337,2020-03-18 18:46:00,M,norisk,,public,ordinary,True
佛坪的清泉,4483900258948097,2020-03-18 18:49:00,M,norisk,,public,ordinary,True
裸奔巴黎,4483900581276882,2020-03-18 18:51:00,M,risk,,wemedia,wemedia,True
西安检察,4483900652782263,2020-03-18 18:51:00,M,norisk,,other,ordinary,True
平安纳溪,4483900812002845,2020-03-18 18:52:00,M,norisk,,mainstream,mainstream,True
大河报,4483901399425552,2020-03-18 18:54:00,M,norisk,,mainstream,mainstream,True
娱影课代表,4483901566896432,2020-03-18 18:55:00,M,norisk,,wemedia,wemedia,True
张淑贤医生,4483901567036389,2020-03-18 18:55:00,M,norisk,,wemedia,wemedia,True
吃货tan_789,4483901731307007,2020-03-18 18:55:00,M,risk,,public,ordinary,True
严州人睦州人,4483902129254906,2020-03-18 18:57:00,M,risk,,public,ordinary,True
剧圈小喵,4483902662031731,2020-03-18 18:59:00,M,norisk,,wemedia,wemedia,True
浦东发布,4483903022336807,2020-03-18 19:00:00,M,norisk,,government,mainstream,True
伊金霍洛发布,4483903148247813,2020-03-18 19:01:00,M,norisk,,government,mainstream,True
湖北经典音乐广播,4483903173984800,2020-03-18 19:01:00,M,norisk,,mainstream,mainstream,True
初吻给了糖,4483903701980774,2020-03-18 19:03:00,M,norisk,,wemedia,wemedia,True
剧综教主,4483903831702828,2020-03-18 19:04:00,M,risk,,wemedia,wemedia,True
武都公安,4483903916478865,2020-03-18 19:04:00,M,norisk,,government,mainstream,True
躲进黑猫心里的柠檬,4483903999444854,2020-03-18 19:04:00,L,risk,,public,ordinary,True
武汉新闻广播,4483904096661907,2020-03-18 19:05:00,M,norisk,,mainstream,mainstream,True
素雅cubic,4483904180294649,2020-03-18 19:05:00,M,risk,,public,ordinary,True
桑延家抬杠少女胡土豆,4483904239150193,2020-03-18 19:05:00,M,norisk,,public,ordinary,True
LETitrot就这样l,4483904834733299,2020-03-18 19:08:00,M,norisk,,wemedia,wemedia,True
功夫大叔,4483904926572589,2020-03-18 19:08:00,M,risk,,public,ordinary,True
柠檬树下的一颗糖,4483904985982830,2020-03-18 19:08:00,M,norisk,,wemedia,wemedia,True
思小彤吖,4483905229304518,2020-03-18 19:09:00,M,norisk,,wemedia,wemedia,True
齐鲁壹点,4483905413938420,2020-03-18 19:10:00,M,norisk,,mainstream,mainstream,True
红星新闻,4483905430294045,2020-03-18 19:10:00,M,norisk,,mainstream,mainstream,True
整整十斤,4483905446778870,2020-03-18 19:10:00,M,norisk,,public,ordinary,True
faty,4483905644212816,2020-03-18 19:11:00,M,norisk,,public,ordinary,True
北京发布,4483905962926628,2020-03-18 19:12:00,M,norisk,,mainstream,mainstream,True
甘肃卫视,4483906025864183,2020-03-18 19:12:00,M,norisk,,mainstream,mainstream,True
今天暖暖的晴,4483906054814082,2020-03-18 19:12:00,M,norisk,,public,ordinary,True
靳生有你相伴,4483906378434614,2020-03-18 19:14:00,M,norisk,,wemedia,wemedia,True
封闭货车里面的一只肥鹤,4483906457516193,2020-03-18 19:14:00,M,risk,,public,ordinary,True
盐盐长蛀牙,4483906742529758,2020-03-18 19:15:00,M,risk,,public,ordinary,True
齐鲁晚报,4483906746729729,2020-03-18 19:15:00,M,norisk,,mainstream,mainstream,True
北京女性,4483906763851052,2020-03-18 19:15:00,M,norisk,,other,ordinary,True
贵族乞丐,4483906781086950,2020-03-18 19:15:00,M,norisk,,public,ordinary,True
延毕是福报呢,4483906965418960,2020-03-18 19:16:00,L,risk,,wemedia,wemedia,True
网易新闻,4483907745541706,2020-03-18 19:19:00,M,norisk,,mainstream,mainstream,True
熙熙攘攘独木桥·,4483907786956333,2020-03-18 19:19:00,M,risk,,wemedia,wemedia,True
月亮小甜唯,4483907875269553,2020-03-18 19:20:00,M,norisk,,wemedia,wemedia,True
钟祥正义检察,4483907930475151,2020-03-18 19:20:00,M,norisk,,other,ordinary,True
梁水才,4483907992997073,2020-03-18 19:20:00,M,norisk,,wemedia,wemedia,True
纶柒紗琉,4483908005362400,2020-03-18 19:20:00,M,norisk,,wemedia,wemedia,True
纶柒紗琉,4483908067992495,2020-03-18 19:20:00,M,norisk,,wemedia,wemedia,True
纶柒紗琉,4483908177324673,2020-03-18 19:21:00,M,norisk,,wemedia,wemedia,True
梨枫梨枫梨枫,4483908235772090,2020-03-18 19:21:00,M,norisk,,wemedia,wemedia,True
猫界顶流猪猪泥分泥,4483908362380981,2020-03-18 19:22:00,M,norisk,,public,ordinary,True
指尖转转旋,4483908504811380,2020-03-18 19:22:00,M,norisk,,public,ordinary,True
Thecamellia_,4483908554921561,2020-03-18 19:22:00,M,norisk,,wemedia,wemedia,True
多吃蓝莓胡萝卜,4483908651278911,2020-03-18 19:23:00,M,risk,,wemedia,wemedia,True
纶柒紗琉,4483908651763272,2020-03-18 19:23:00,M,norisk,,wemedia,wemedia,True
黔灵穗语,4483908698105387,2020-03-18 19:23:00,M,norisk,,wemedia,wemedia,True
贺奇,4483908760778814,2020-03-18 19:23:00,M,norisk,,public,ordinary,True
天空云彩星星收集处,4483908823213959,2020-03-18 19:23:00,M,risk,,public,ordinary,True
A紫情梦,4483908881918345,2020-03-18 19:24:00,M,norisk,,wemedia,wemedia,True
青春湄潭,4483908882140537,2020-03-18 19:24:00,M,norisk,,other,ordinary,True
深圳热点事儿,4483908961496293,2020-03-18 19:24:00,M,norisk,,public,ordinary,True
A紫情梦,4483909033149057,2020-03-18 19:24:00,M,norisk,,wemedia,wemedia,True
年华实然,4483909129083209,2020-03-18 19:25:00,H,risk,,public,ordinary,True
熙熙攘攘独木桥·,4483909133797576,2020-03-18 19:25:00,M,risk,,wemedia,wemedia,True
范好甜_蒋翼限定版,4483909192539297,2020-03-18 19:25:00,M,norisk,,wemedia,wemedia,True
多吃蓝莓胡萝卜,4483909419359134,2020-03-18 19:26:00,M,risk,,wemedia,wemedia,True
不定期-停业整顿,4483909662342206,2020-03-18 19:27:00,M,risk,,wemedia,wemedia,True
FLOOR_Ning,4483909762697428,2020-03-18 19:27:00,M,risk,,wemedia,wemedia,True
Tiffany就是我,4483909871536701,2020-03-18 19:28:00,M,norisk,,public,ordinary,True
ChEn9ZiHaN,4483909893191124,2020-03-18 19:28:00,M,norisk,,wemedia,wemedia,True
今天也想睡够八小时呀,4483910006629898,2020-03-18 19:28:00,M,risk,,wemedia,wemedia,True
·之后·,4483910031563096,2020-03-18 19:28:00,M,norisk,,wemedia,wemedia,True
宋不宋啊,4483910044344877,2020-03-18 19:28:00,M,norisk,,public,ordinary,True
达摩行,4483910073602791,2020-03-18 19:28:00,M,norisk,,wemedia,wemedia,True
守护zyl48里最好的陈一鸣,4483910107329391,2020-03-18 19:28:00,M,norisk,,public,ordinary,True
南阳日报,4483910115752581,2020-03-18 19:29:00,M,norisk,,mainstream,mainstream,True
羽族皇子15u,4483910161343663,2020-03-18 19:29:00,M,risk,,wemedia,wemedia,True
湖南高院,4483910182377076,2020-03-18 19:29:00,M,norisk,,mainstream,mainstream,True
小散首领,4483910312262230,2020-03-18 19:29:00,M,norisk,,wemedia,wemedia,True
莫心动莫心碎,4483910337842105,2020-03-18 19:29:00,L,norisk,,public,ordinary,True
芒芒碌碌Z星球寻宝藏,4483910362568060,2020-03-18 19:29:00,M,risk,,wemedia,wemedia,True
盘活使者二零一八,4483910371002552,2020-03-18 19:30:00,M,norisk,,wemedia,wemedia,True
一键康,4483910391657721,2020-03-18 19:30:00,M,norisk,,other,ordinary,True
wanzi_kkkk,4483910396022454,2020-03-18 19:30:00,M,norisk,,wemedia,wemedia,True
暴躁杀鸡,4483910413234490,2020-03-18 19:30:00,M,norisk,,wemedia,wemedia,True
深圳校园,4483910429742132,2020-03-18 19:30:00,M,norisk,,other,ordinary,True
金刀王,4483910483912195,2020-03-18 19:30:00,M,risk,,public,ordinary,True
FLOOR_Ning,4483910568440435,2020-03-18 19:30:00,M,risk,,wemedia,wemedia,True
水韵温江,4483910609951399,2020-03-18 19:30:00,M,norisk,,other,ordinary,True
享久成都总经销乐乐,4483910672934116,2020-03-18 19:31:00,M,norisk,,public,ordinary,True
垚垚文案馆,4483910681365930,2020-03-18 19:31:00,M,risk,,public,ordinary,True
中事,4483910782183458,2020-03-18 19:31:00,M,norisk,,public,ordinary,True
雷电丽,4483910807460446,2020-03-18 19:31:00,M,norisk,,public,ordinary,True
孙明展,4483910820118884,2020-03-18 19:31:00,M,risk,,wemedia,wemedia,True
江西教育电视台官方微博,4483910878427385,2020-03-18 19:32:00,M,norisk,,mainstream,mainstream,True
黑木不是黑木,4483910921087605,2020-03-18 19:32:00,M,risk,,wemedia,wemedia,True
鸿运当头-趙,4483911041940730,2020-03-18 19:32:00,H,norisk,,wemedia,wemedia,True
橘橘棒童话里做英雄,4483911055201668,2020-03-18 19:32:00,M,risk,,public,ordinary,True
为了唯一的爱豆开微博的白粥,4483911122403277,2020-03-18 19:33:00,M,norisk,,wemedia,wemedia,True
游资西门吹雪,4483911130034563,2020-03-18 19:33:00,M,risk,,wemedia,wemedia,True
ss朝夕ss,4483911130573580,2020-03-18 19:33:00,M,risk,,wemedia,wemedia,True
马鞍山反邪教,4483911143218021,2020-03-18 19:33:00,M,norisk,,other,ordinary,True
彩云虹宝030,4483911150753915,2020-03-18 19:33:00,M,norisk,,wemedia,wemedia,True
多吃蓝莓胡萝卜,4483911151095371,2020-03-18 19:33:00,M,norisk,,wemedia,wemedia,True
·彩虹轰炸机·,4483911163400569,2020-03-18 19:33:00,M,risk,,wemedia,wemedia,True
深圳热点事儿,4483911209535024,2020-03-18 19:33:00,M,norisk,,public,ordinary,True
衡阳共青团,4483911255643764,2020-03-18 19:33:00,M,norisk,,other,ordinary,True
老安统治了我的价值观,4483911268775807,2020-03-18 19:33:00,M,risk,,public,ordinary,True
牵伊伊小手,4483911352633773,2020-03-18 19:33:00,M,norisk,,wemedia,wemedia,True
快乐萨克,4483911385764105,2020-03-18 19:34:00,M,norisk,,public,ordinary,True
啊昌小姐姐,4483911411806126,2020-03-18 19:34:00,M,norisk,,wemedia,wemedia,True
快乐天使MM666,4483911499837823,2020-03-18 19:34:00,M,norisk,,wemedia,wemedia,True
多加点芋圆wa,4483911603905024,2020-03-18 19:34:00,M,norisk,,wemedia,wemedia,True
为了唯一的爱豆开微博的白粥,4483911603917071,2020-03-18 19:34:00,M,norisk,,wemedia,wemedia,True
多吃蓝莓胡萝卜,4483911700841768,2020-03-18 19:35:00,M,norisk,,wemedia,wemedia,True
牵伊伊小手,4483911746781471,2020-03-18 19:35:00,M,norisk,,wemedia,wemedia,True
爱你的花哥哥,4483911767620353,2020-03-18 19:35:00,M,norisk,,public,ordinary,True
利姐姐ing,4483911822688913,2020-03-18 19:35:00,L,risk,,wemedia,wemedia,True
今天也想睡够八小时呀,4483911838752390,2020-03-18 19:35:00,M,norisk,,wemedia,wemedia,True
长沙月老菌脱单,4483911843435997,2020-03-18 19:35:00,M,norisk,,wemedia,wemedia,True
顺逆毛365,4483912027819669,2020-03-18 19:36:00,M,norisk,,wemedia,wemedia,True
月半终会圆,4483912052873260,2020-03-18 19:36:00,M,risk,,wemedia,wemedia,True
你粉籍没了,4483912095036350,2020-03-18 19:36:00,M,norisk,,public,ordinary,True
榆林交警,4483912107118587,2020-03-18 19:36:00,M,norisk,,other,ordinary,True
荔枝TV,4483912233851576,2020-03-18 19:37:00,M,norisk,,public,ordinary,True
苹果肖肖樂,4483912317608096,2020-03-18 19:37:00,M,norisk,,wemedia,wemedia,True
犹豫就会败北6,4483912375504407,2020-03-18 19:38:00,M,norisk,,wemedia,wemedia,True
Nili小岳啊-,4483912539110964,2020-03-18 19:38:00,M,norisk,,public,ordinary,True
FFermentation,4483912652812434,2020-03-18 19:39:00,M,norisk,,wemedia,wemedia,True
Cassie_鱼腩,4483912703649991,2020-03-18 19:39:00,M,norisk,,public,ordinary,True
齐鲁晚报,4483912757286142,2020-03-18 19:39:00,M,norisk,,mainstream,mainstream,True
乌兰浩特政法,4483912912460585,2020-03-18 19:40:00,M,norisk,,mainstream,mainstream,True
