lag,ccf,ci_lower,ci_upper,significant
-14,0.013859399116037171,-0.005563785233026022,0.02625339567630583,False
-13,0.005893722999461243,-0.005596166584950122,0.02546431921893322,False
-12,0.006571317204722746,-0.005632857350255876,0.02092016461545918,False
-11,0.007300652693414533,-0.005648383172466462,0.026010263820245145,False
-10,0.01631078554262109,-0.005625219497644391,0.02056910580459241,False
-9,0.015021610208086256,-0.005483722524836338,0.021306276656136176,False
-8,0.008919271998320473,-0.005517732442015587,0.01597017743885263,False
-7,0.011459950714572498,-0.005629383612866433,0.020819887112762447,False
-6,0.017726880758270894,-0.00541981622363277,0.024930177236481638,False
-5,0.014212290672319456,-0.005619496408177561,0.02057404881372793,False
-4,0.007489020363709764,-0.005614710444540036,0.020365500560574772,False
-3,0.01560882887474775,-0.005454672042939226,0.01926083703929015,False
-2,0.03269191078865962,-0.005605158850537562,0.020429085584595053,True
-1,0.07704838205270724,-0.0055387960171709655,0.0169158346666671,True
0,0.9735568333398544,-0.0054403775379503775,0.025102503411978675,True
1,0.04118388534377521,-0.005498181963402929,0.024071914439289892,True
2,0.0188739140404628,-0.005646807469568424,0.019401792567922023,False
3,0.010071250009409914,-0.005608923863365745,0.015828564119500947,False
4,0.014776109691330964,-0.005614789411893934,0.016072531123827307,False
5,0.007732939637247686,-0.005516027079206582,0.017017540515345656,False
6,0.015853581805334457,-0.005576060642921843,0.017305278867563733,False
7,0.009483133055898872,-0.00557741048487148,0.02343846941820094,False
8,0.007511738438967653,-0.005687309086957777,0.02564934450575897,False
9,0.0069376939215131115,-0.0056183984487562875,0.021418405107132048,False
10,0.012470729031313285,-0.005541956830926279,0.024079635178839615,False
11,0.011534404596227676,-0.005586684694204793,0.026778634422199462,False
12,0.022036046852610888,-0.00560150229899136,0.0227861020724993,False
13,0.006918644489292706,-0.005585910598039651,0.016227468648071095,False
14,0.007431426559036182,-0.0055593654072361755,0.02437914325322813,False
