state,term,term_type,coef,std_err,z_value,p_value,odds_ratio
H,Intercept,intercept,-1.8797503717643453,0.18046501335199008,-10.416148464732965,0.0,0.1526282013104274
H,"C(exposure_group, Treatment(reference='dual'))[T.wemedia_only]",main_exposure,-1.0696276010182229,0.9850629777053174,-1.0858469206810482,0.27754672365186805,0.34313627722866935
H,"C(env_type, Treatment(reference='norisk'))[T.risk]",main_risk_env,0.417005629555375,0.26096262445985197,1.5979515473470784,0.11005376075711859,1.5174110552606022
H,C(time_fe)[T.2022Q1],time_fe,0.34328346174321983,0.8002100633698837,0.4289916828808273,0.667929277398245,1.4095682639792966
H,C(time_fe)[T.2022Q2],time_fe,-0.5033717023462255,0.5932294189532916,-0.8485278819017216,0.3961440513923624,0.6044890626272008
H,C(time_fe)[T.2022Q3],time_fe,1.5391325307225445,0.8965634194622725,1.7167023517930975,0.08603357023721236,4.660545636787713
H,C(time_fe)[T.2022Q4],time_fe,-1.1094558164938562,0.3967791892478181,-2.7961542504209276,0.005171471168510022,0.3297383504320457
H,C(time_fe)[T.2023Q1],time_fe,-1.251453510777242,0.45163243341871895,-2.7709557998395353,0.005589201325875814,0.28608866155206375
H,C(time_fe)[T.2023Q2],time_fe,-1.6942419579391514,0.8443215489658144,-2.0066311940212596,0.044788947282641045,0.18373845772959926
H,C(time_fe)[T.2023Q3],time_fe,-1.095044122345879,0.37966391923418646,-2.8842459524588837,0.003923521868991031,0.3345248466019926
H,C(time_fe)[T.2023Q4],time_fe,-0.8648125039279154,0.7888338046184624,-1.096317752693423,0.2729397430620919,0.4211305055410332
H,C(time_fe)[T.2024Q1],time_fe,1.0287839495712128,1.1563183741173602,0.8897064792873357,0.3736235140166495,2.797661667628646
H,C(time_fe)[T.2024Q2],time_fe,-1.450176414411647,1.327851781285619,-1.0921222043378922,0.2747793908969731,0.23452891016437258
H,C(time_fe)[T.2024Q3],time_fe,-0.16305730130450688,0.7629496260162899,-0.21371961626864394,0.8307657131912332,0.8495425071259606
H,C(time_fe)[T.2024Q4],time_fe,0.6543232651908534,0.6901995277096519,0.9480204475974509,0.3431190447682284,1.9238401471516224
H,C(time_fe)[T.2025Q1],time_fe,-0.6706443477984063,1.634573856901387,-0.4102869656007633,0.6815954524905488,0.5113789656948371
H,C(time_fe)[T.2025Q2],time_fe,0.2916177429178427,0.9731213738869006,0.2996725287751572,0.7644269549578815,1.3385912338497838
H,"C(exposure_group, Treatment(reference='dual'))[T.wemedia_only]:C(env_type, Treatment(reference='norisk'))[T.risk]",interaction,0.17230655778086634,1.1421198390474134,0.15086556759628555,0.8800817626224005,1.1880419809081428
H,z_n_total_interactions,control,1.0789752875622616,0.14858590267356553,7.261626225286706,3.823608096809039e-13,2.941663646785607
H,z_active_days,control,-0.8662433288262827,0.2811047477389116,-3.0815677635969507,0.0020591360194457398,0.4205283724045119
H,z_n_posts,control,0.640585666081951,0.2558029564201727,2.5042152563309243,0.012272334422595677,1.8975919091455182
M,Intercept,intercept,1.1817071111322262,0.1547891070874952,7.634304075830486,2.2648549702353193e-14,3.259934526014268
M,"C(exposure_group, Treatment(reference='dual'))[T.wemedia_only]",main_exposure,1.6523589322835401,0.9151392717633594,1.8055819297314717,0.0709836673678963,5.219277238671937
M,"C(env_type, Treatment(reference='norisk'))[T.risk]",main_risk_env,-0.24104876393023006,0.21746396882690455,-1.108453806074414,0.2676658785089179,0.7858033065964238
M,C(time_fe)[T.2022Q1],time_fe,-0.11427060870443201,0.7471900653095359,-0.1529337902225634,0.8784504885960114,0.8920165357796117
M,C(time_fe)[T.2022Q2],time_fe,0.43268875351759783,0.5901871813293463,0.7331381758292399,0.4634741581667796,1.541396391827038
M,C(time_fe)[T.2022Q3],time_fe,-1.414528109108348,0.8640083349517576,-1.6371695178002292,0.1015950542876145,0.24304027488479382
M,C(time_fe)[T.2022Q4],time_fe,1.1296796447002864,0.3869719826146846,2.9192801945693576,0.0035084071900679525,3.094664948991614
M,C(time_fe)[T.2023Q1],time_fe,0.8640043677867512,0.3686899836595791,2.3434441023071257,0.019106625047846215,2.3726426301728556
M,C(time_fe)[T.2023Q2],time_fe,1.7950149497518904,0.6637555401822612,2.7043314007729347,0.006844199214142144,6.019564712133516
M,C(time_fe)[T.2023Q3],time_fe,0.4826015716676477,0.2987891540876345,1.6151910638834677,0.10626932513159781,1.6202842092534442
M,C(time_fe)[T.2023Q4],time_fe,1.4027664565658402,0.7416401976669424,1.8914380058937932,0.05856589921485322,4.066434033532733
